,ingredient,uses,warnings,before_taking,Side Effects
229,Dupixent,"Dupixent (dupilumab) is a biologic that is given by subcutaneous (under the skin) injection that may be used to treat the following inflammatory conditions: Dupixent works by targeting and binding to a protein that is associated with inflammation called interleukin-4 (IL-4) receptor alpha subunit (IL-4Ra)], preventing IL-4 and IL-3 signaling. This inhibits the inflammatory response including the release of proinflammatory cytokines, chemokines, nitric oxide, and IgE. Dupixent is an interleukin-4 receptor alpha antagonist. Dupixent was first FDA-approved on March 28, 2017.","Hypersensitivity reactions including anaphylaxis, serum sickness, angioedema, urticaria, rash, erythema nodosum, and erythema multiforme have been reported with Dupixent. Do not use Dupixent if you are allergic to dupilumab or any of the ingredients. Stop Dupixent immediately and contact your healthcare provider if you develop any allergy symptoms. May cause conjunctivitis and keratitis. Report new onset or worsening eye symptoms to your healthcare provider. Your healthcare provider may suggest an ophthalmological examination. May increase the risk of developing eosinophilic conditions. Tell your doctor if you develop a red or purple rash, shortness of breath, or tingling or nerve pain in your hands or feet. Your healthcare provider will decide if you need to continue with oral, topical, or inhaled corticosteroids while being treated with Dupixent. These should be reduced gradually, do not discontinue without your doctor’s advice. Report new onset or worsening joint pain or swelling to your healthcare provider. Further investigation may be required. Any pre-existing worm or parasitic (helminth) infections should be treated before initiating Dupixent. If patients become infected during treatment and do not respond to antihelminths, then discontinue Dupixent until the infection resolves. Avoid the use of live vaccines. May reduce the immune response to other vaccinations. It is not known if Dupixent is safe and effective for children with:","Before using Dupixent tell your healthcare provider about all your medical conditions, including if you: It is not known whether Dupixent will harm your unborn baby. There is a pregnancy exposure registry for women who use Dupixent during pregnancy. Your healthcare provider can enroll you in this registry or you can enroll yourself or get more information about the registry by calling 1-877-311-8972 or going to https://mothertobaby.org/ongoing-study/dupixent/ It is not known whether Dupixent passes into breast milk.","Get emergency medical help if you have signs of an allergic reaction to Dupixent: hives, rash, itching; fever, swollen glands, joint pain; feeling light-headed, difficulty breathing; swelling of your face, lips, tongue, or throat. Dupixent may cause serious side effects. Call your doctor at once if you have: The most common side effects of Dupixent include: The following additional side effects have been reported with Dupixent: Tell your healthcare provider if you have any side effect that bothers you or that does not go away. These are not all of the possible side effects of Dupixent. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088."
230,Dutasteride,Dutasteride is used to treat benign prostatic hyperplasia (BPH) in men with an enlarged prostate . Dutasteride helps improve urinary flow and may also reduce your need for prostate surgery later on. dutasteride is for use in men only. Dutasteride may also be used for purposes not listed in this medication guide.,Dutasteride should never be taken by a woman or a child. Dutasteride can cause birth defects if a woman is exposed to it during pregnancy. Dutasteride capsules should not be handled by a woman who is pregnant or may become pregnant.,"You should not use  dutasteride if you are allergic to dutasteride or finasteride . Dutasteride should never be taken by a woman or a child. Dutasteride can be absorbed through the skin, and women or children should not be permitted to handle dutasteride capsules. Tell your doctor if you have ever had: liver disease . Using dutasteride may increase your risk of developing prostate cancer . Your doctor will test your prostate specific antigen (PSA) to check for cancer while you are using this medicine. Dutasteride is not for use by women, and this medicine can cause birth defects if a woman is exposed to it during pregnancy. Dutasteride capsules should not be handled by a woman who is pregnant or who may become pregnant. If a woman accidentally comes into contact with this medication from a leaking capsule, wash the area with soap and water right away.","Get emergency medical help if you have signs of an allergic reaction (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction ( fever , sore throat , burning eyes, skin pain, red or purple skin rash with blistering and peeling). Common side effects of dutasteride may include: decreased libido (sex drive); decreased amount of semen released during sex; impotence (trouble getting or keeping an erection); or breast tenderness or enlargement. The sexual side effects of dutasteride may continue after you stop taking this medicine. Talk to your doctor if you have concerns about these side effects. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
231,Ecotrin,"Ecotrin is a salicylate (sa-LIS-il-ate) that is used to treat pain, and reduce fever or inflammation. Ecotrin is sometimes used to treat or prevent heart attacks, strokes, and chest pain (angina). This medicine should be used for these conditions only under the supervision of a doctor. Ecotrin may also be used for purposes not listed in this medication guide.","Ecotrin can cause Reye's syndrome, a serious and sometimes fatal condition in children.","Using Ecotrin in a child or teenager with flu symptoms or chickenpox can cause a serious or fatal condition called Reye's syndrome. You should not use Ecotrin if you are allergic to it, or if you have: a recent history of stomach or intestinal bleeding; a bleeding disorder such as hemophilia ; or if you have ever had an asthma attack or severe allergic reaction after taking Ecotrin or an NSAID (non-steroidal anti-inflammatory drug). Tell your doctor if you have ever had: asthma or seasonal allergies; stomach ulcers; liver disease ; kidney disease; a bleeding or blood clotting disorder; gout; or heart disease , high blood pressure , or congestive heart failure . Taking Ecotrin during late pregnancy may cause bleeding in the mother or the baby during delivery. Tell your doctor if you are pregnant or plan to become pregnant. You should not breastfeed while using  Ecotrin.","Get emergency medical help if you have signs of an allergic reaction : hives; difficult breathing; swelling of your face, lips, tongue, or throat. Ecotrin may cause serious side effects. Stop using Ecotrin and call your doctor at once if you have: ringing in your ears, confusion, hallucinations, rapid breathing, seizure (convulsions); severe nausea, vomiting, or stomach pain; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; fever lasting longer than 3 days; or swelling, or pain lasting longer than 10 days. Common side effects of Ecotrin may include: upset stomach , heartburn; drowsiness; or mild headache. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
232,Effexor,No uses section found.,No warnings section found.,No before section found.,No side effects section found
233,Effexor XR,"Effexor (venlafaxine) is used in adults to treat major depressive disorder . Effexor XR extended-release (long-acting) capsules are also used to treat generalized anxiety disorder (GAD; excessive worrying that is difficult to control), social anxiety disorder (extreme fear of interacting with others or performing in front of others that interferes with normal life), and panic disorder (sudden, unexpected attacks of extreme fear and worry about these attacks). Effexor belongs to in a class of medications called selective serotonin and norepinephrine reuptake inhibitors (SNRIs). Venlafaxine works by increasing the amounts of serotonin and norepinephrine, natural substances in the brain that help maintain mental balance.","You should not take Effexor if you have uncontrolled narrow-angle glaucoma . Do not use Effexor within 7 days before or 14 days after you have used an MAO inhibitor, such as isocarboxazid , linezolid , methylene blue injection, phenelzine , or tranylcypromine . Some young people have thoughts about suicide when first taking an antidepressant. Stay alert to changes in your mood or symptoms. Report any new or worsening symptoms to your doctor, such as: mood or behavioral changes, anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Do not stop using Effexor without first talking to your doctor. Do not give Effexor to anyone younger than 18 years old without the advice of a doctor. Effexor is not FDA approved for use in children.","You should not take Effexor if you are allergic to venlafaxine or desvenlafaxine ( Pristiq ). Do not use Effexor if you have used an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, and tranylcypromine. Tell your doctor if you also use stimulant medicine, opioid medicine, herbal products , or medicine for depression, mental illness, Parkinson's disease , migraine headaches, serious infections, or prevention of nausea and vomiting . An interaction with venlafaxine could cause a serious condition called serotonin syndrome. To make sure Effexor is safe for you, tell your doctor if you have ever had: bipolar disorder (manic depression); heart disease , high blood pressure , high cholesterol or triglycerides; diabetes; lung disease; glaucoma ; a thyroid disorder; a seizure; sexual problems; bleeding problems; low blood levels of sodium; or liver or kidney disease. Some young people may have increased suicidal thoughts when first starting a medicine to treat depression. Stay alert to changes in your mood or symptoms. Your family or caregivers should also watch for sudden changes in your behavior. Taking Effexor during pregnancy could harm the baby, but stopping the medicine may not be safe for you. Do not start or stop Effexor without asking your doctor. If you are pregnant, your name may be listed on a pregnancy registry to track the effects of venlafaxine on the baby. Ask a doctor if it is safe to breastfeed while using Effexor.","Get emergency medical help if you have signs of an allergic reaction to Effexor: hives; difficult breathing; swelling of your face, lips, tongue, or throat. Tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety, panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. Venlafaxine may cause serious side effects. Call your doctor at once if you have: blurred vision, eye pain or redness, seeing halos around lights; cough , chest tightness, trouble breathing; a seizure (convulsions); unusual bleeding - nosebleeds, bleeding gums, abnormal vaginal bleeding, any bleeding that will not stop; low blood sodium - headache , confusion, problems with thinking or memory, weakness, feeling unsteady; or severe nervous system reaction - very stiff (rigid) muscles, high fever , sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea . Common Effexor side effects include: headache, dizziness, drowsiness , tiredness; ringing in your ears, feeling anxious, nervous, or jittery; sleep problems, unusual dreams; tremors; fast heartbeats; blurred vision; nausea, vomiting, diarrhea, constipation ; changes in weight or appetite; dry mouth, yawning; increased sweating; or sexual problems. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
234,Elagolix,"Elagolix belongs to a class of drugs called gonadotropin-releasing hormone (GnRH) receptor antagonist. It is an oral tablet used to help treat pain caused by endometriosis . Endometriosis is a condition where tissue that should line the uterus or womb, grows outside of the uterus forming lesions. It affects about 1 in 10 women of reproductive age. During your menstrual cycle these lesions grow in response to rising levels of a hormone called estrogen, then they break down and shed during your period. This can cause pain throughout your cycle. Elagolix helps to reduce the pain you experience by reducing the amount of estrogen you produce that encourages the lesions to grow. Elagolix works by binding to GnRH receptors in the pituitary gland, which suppresses luteinizing hormone (LH) and follicle-stimulating hormone (FSH) and leads to a decrease in estrogen.","Elagolix may cause serious side effects, including:",Do not take elagolix if you:,"Elagolix can cause serious side effects including: You or your caregiver should pay attention to any changes, especially sudden changes in your mood, behaviors, thoughts, or feelings. The most common side effects of elagolix include: hot flashes and night sweats, headache, nausea, difficulty sleeping, absence of periods, anxiety, joint pain, depression and mood changes. These are not all the possible side effects of elagolix. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
235,Elavil,Elavil is a tricyclic antidepressant with sedative effects. Amitriptyline affects certain chemical messengers (neurotransmitters) that communicate between brain cells and help regulate mood. Elavil is a prescription medicine used to treat symptoms of depression . Elavil may also be used for purposes not listed in this medication guide.,"You should not use Elavil if you have recently had a heart attack . Do not use Elavil if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid , linezolid , methylene blue injection, phenelzine , rasagiline , selegiline , or tranylcypromine . You may have thoughts about suicide when you first start taking an antidepressant such as amitriptyline, especially if you are younger than 24 years old. Your doctor will need to check you at regular visits for at least the first 12 weeks of treatment. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself.","You should not use Elavil if you are allergic to amitriptyline, or: if you have recently had a heart attack. Do not use Elavil if you have used an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, tranylcypromine, and others. Tell your doctor if you have used an ""SSRI"" antidepressant in the past 5 weeks, such as citalopram , escitalopram , fluoxetine ( Prozac ), fluvoxamine , paroxetine , sertraline ( Zoloft ), trazodone , or vilazodone . To make sure Elavil is safe for you, tell your doctor if you have ever had: bipolar disorder (manic-depression) or schizophrenia ; mental illness or psychosis; liver disease; heart disease; a heart attack, stroke, or seizures ; diabetes (amitriptyline may raise or lower blood sugar); glaucoma ; or problems with urination. Some young people have thoughts about suicide when first taking an antidepressant. Your doctor should check your progress at regular visits. Your family or other caregivers should also be alert to changes in your mood or symptoms. Tell your doctor if you are pregnant or breastfeeding. Elavil is not approved for use by anyone younger than 12 years old.","Get emergency medical help if you have signs of an allergic reaction to Elavil: hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: signs of a blood clot - sudden numbness or weakness, problems with vision or speech, swelling or redness in an arm or leg; unusual thoughts or behavior; a light-headed feeling, like you might pass out; chest pain or pressure, pain spreading to your jaw or shoulder, nausea , sweating; pounding heartbeats or fluttering in your chest; confusion, hallucinations; a seizure (convulsions); painful or difficult urination; severe constipation ; easy bruising, unusual bleeding; or fever, chills, sore throat , mouth sores. Common Elavil side effects may include: constipation, diarrhea ; nausea, vomiting , upset stomach ; mouth pain, unusual taste, black tongue; appetite or weight changes; urinating less than usual; itching or rash; breast swelling (in men or women); or decreased sex drive, impotence , or difficulty having an orgasm. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
236,Eletriptan,"Eletriptan is used to treat migraine headaches with or without aura in adults. Eletriptan will only treat a headache that has already begun. It will not prevent headaches or reduce the number of attacks. Eletriptan should not be used to treat a common tension headache , a headache that causes loss of movement on one side of your body, or any headache that seems to be different from your usual migraine headaches. Use  eletriptan only if your condition has been confirmed by a doctor as migraine headaches. Eletriptan may also be used for purposes not listed in this medication guide.","You should not use eletriptan if you have ever had heart disease , coronary artery disease , blood circulation problems, Wolff-Parkinson-White syndrome, uncontrolled high blood pressure , severe liver disease , a heart attack or stroke, or if your headache seems to be different from your usual migraine headaches. Do not take eletriptan within 24 hours before or after using another migraine headache medicine. Do not use eletriptan within 72 hours before or after taking: clarithromycin , troleandomycin, itraconazole , ketoconazole , nefazodone, ritonavir, or nelfinavir.","You should not use eletriptan if you are allergic to it, or if you have: heart problems, or a stroke (including ""mini-stroke""); circulation problems affecting your legs, arms, stomach, intestines, or kidneys; a heart disorder called Wolff-Parkinson-White syndrome; uncontrolled high blood pressure; or a headache that seems different from your usual migraine headaches. Do not take eletriptan within 24 hours before or after using another migraine headache medicine, including: medicines like eletriptan--almotriptan, frovatriptan , naratriptan, rizatriptan, sumatriptan, zolmitriptan , and others; or ergot medicine-- dihydroergotamine , ergotamine, ergonovine, methylergonovine . Do not use eletriptan within 72 hours before or after taking: clarithromycin, troleandomycin, itraconazole, ketoconazole, nefazodone, ritonavir, or nelfinavir. Tell your doctor if you have ever had: liver or renal disease; heart problems or stroke; or risk factors for coronary artery disease (such as high blood pressure, high cholesterol , diabetes, menopause, smoking, a family history of coronary artery disease, being overweight, or being older than 40 and a man). Be sure your doctor knows if you also take stimulant medicine, opioid medicine, herbal products , or medicine for depression, mental illness, Parkinson's disease , migraine headaches, serious infections, or prevention of nausea and vomiting. These medicines may interact with eletriptan and cause a serious condition called serotonin syndrome. Tell your doctor if you are pregnant or plan to become pregnant. It is not known whether eletriptan will harm an unborn baby. However, having migraine headaches during pregnancy may cause complications such as high blood pressure or eclampsia (dangerously high blood pressure that can lead to medical problems in both mother and baby). The benefit of treating migraines may outweigh any risks to the baby. It may not be safe to breastfeed while using  eletriptan. Ask your doctor about any risk. Eletriptan is not approved for use by anyone younger than 18 years old.","Get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat. Eletriptan may cause serious side effects. Call your doctor at once if you have: fast, slow, or uneven heart rate; sudden severe stomach pain (especially after meals), constipation or diarrhea, weight loss; fever, diarrhea that is bloody; numbness, tingling, cold feeling or burning pain in your feet or toes; tightness or heavy feeling in your legs, pale or blue-colored appearance in your fingers or toes; severe headache, blurred vision, pounding in your neck or ears; or signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache, slurred speech, problems with vision or balance. Eletriptan may cause serious side effects. Stop using eletriptan and call your doctor at once if you have: heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Common side effects of eletriptan may include: dizziness, drowsiness; nausea; or weakness, feeling tired. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
237,Eligard,Eligard injection is used to treat the symptoms associated with advanced prostate cancer . Eligard treats only the symptoms of prostate cancer and does not treat the cancer itself. Eligard belongs to a class of medications called gonadotropin-releasing hormone (GnRH) agonists. Leuprolide works by decreasing the amount of certain hormones in the body.,"Your symptoms may become temporarily worse when you first start using Eligard, including new or worsening symptoms of sexual development in children. Tell your doctor if this continues for longer than 2 months. Call your doctor at once if you have a seizure, unusual changes in mood or behavior, severe headaches, ringing in your ears, dizziness, nausea, vision problems, or pain behind your eyes. Do not use if you are pregnant. Use effective birth control . Do not use if you have abnormal vaginal bleeding that has not been checked by a doctor.","You should not use Eligard if you are allergic to leuprolide or similar medicines such as buserelin, goserelin , histrelin , nafarelin , or if you have abnormal vaginal bleeding that has not been checked by a doctor. To make sure Eligard is safe for you, tell your doctor if you have ever had: depression , mental illness, or psychosis ; seizures or epilepsy ; a blood vessel disorder; a brain tumor or spinal cord injury ; heart disease , congestive heart failure , long QT syndrome ; an electrolyte imbalance (such as low levels of potassium or magnesium in your blood); or risk factors for bone loss (personal or family history of osteoporosis , smoking , alcohol use, taking steroid or seizure medicines long term). Eligard usually causes women to stop ovulating or having menstrual periods. However, you may still be able to get pregnant. Use barrier birth control to prevent pregnancy: condom, diaphragm, cervical cap, or contraceptive sponge. Call your doctor if your periods continue while you are being treated with this medicine. Leuprolide may cause birth defects. Do not use if you are pregnant. Tell your doctor if you become pregnant. Ask a doctor if it is safe to breastfeed while using this medicine.","Get emergency medical help if you have signs of an allergic reaction to Eligard (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction ( fever , sore throat , burning eyes, skin pain, red or purple skin rash with blistering and peeling). Call your doctor at once if you have a seizure, unusual changes in mood or behavior (crying spells, irritability, restlessness, anger, aggression), severe headaches, ringing in your ears, dizziness, nausea , vision problems, or pain behind your eyes. Your symptoms may become temporarily worse when you first start using Eligard. Tell your doctor if this continues for longer than 2 months. Eligard may cause serious side effects. Call your doctor at once if you have: bone pain, loss of movement in any part of your body; swelling, rapid weight gain; a seizure; unusual changes in mood or behavior (crying spells, anger, feeling irritable); sudden chest pain or discomfort, wheezing , dry cough or hack; painful or difficult urination; pain or unusual sensations in your back, numbness, weakness, or tingly feeling in your legs or feet; muscle weakness or loss of muscle use, loss of bladder or bowel control; problems with your pituitary gland - sudden severe headache , vomiting , problems with your eyes or vision, changes in mood or behavior; high blood sugar - increased thirst, increased urination, hunger, dry mouth , fruity breath odor; heart attack symptoms - chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating ; or signs of a stroke - sudden numbness or weakness, severe headache, slurred speech, problems with vision or balance. Common Eligard side effects may include: pituitary gland problems; acne, itching , rash, white scales (seborrhea); cold symptoms such as stuffy nose, sneezing, sore throat, cough with or without mucus; fractures, ligament sprain; fever, tiredness, not feeling well; stomach pain, nausea, vomiting, diarrhea , constipation ; wheezing, chest tightness, trouble breathing; breast tenderness, hot flashes , sweating; dizziness, sleep problems, mood changes; headache, general pain; vaginal swelling, itching, or discharge; weight changes; decreased testicle size; irregular menstrual periods, decreased interest in sex; or redness, pain, swelling, or oozing where the medicine was injected. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
238,Eliquis,"Eliquis blocks the activity of certain clotting substances in the blood. Eliquis is used to lower the risk of stroke or a blood clot in people with a heart rhythm disorder called atrial fibrillation . Eliquis reduces the risk of forming a blood clot in the legs and lungs of people who have just had hip or knee replacement surgery. Eliquis treats blood clots in the veins of your legs ( DVT - deep vein thrombosis ) or lungs ( pulmonary embolism ), and reduce the risk of them occurring again.","Eliquis increases your risk of severe or fatal bleeding, especially if you take certain medicines at the same time (including some over-the-counter medicines). It is very important to tell your doctor about all medicines you have recently used. Call your doctor at once if you have signs of bleeding such as: swelling, pain, feeling very weak or dizzy, bleeding gums, nosebleeds, heavy menstrual periods or abnormal vaginal bleeding, blood in your urine, bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds, or any bleeding that will not stop. Eliquis should be stopped 24-48 hours prior to any surgery, invasive procedure, or dental work. Tell your surgeon if you are taking Eliquis. Eliquis can cause a very serious blood clot around your spinal cord that can lead to long-term or permanent paralysis. This type of blood clot can occur during a spinal tap or spinal anesthesia (epidural), especially if you have a genetic spinal defect, if you use a spinal catheter, if you've had spinal surgery or repeated spinal taps, or if you use drugs that can affect blood clotting. Eliquis can cause a very serious blood clot around your spinal cord if you undergo a spinal tap or receive spinal anesthesia (epidural), especially if you have a genetic spinal defect, if you have a spinal catheter in place, if you have a history of spinal surgery or repeated spinal taps, or if you are also using other drugs that can affect blood clotting. This type of blood clot can lead to long-term or permanent paralysis. Get emergency medical help if you have symptoms of a spinal cord blood clot such as back pain , numbness or muscle weakness in your lower body, or loss of bladder or bowel control. Do not stop taking Eliquis unless your doctor tells you to. Stopping suddenly can increase your risk of blood clot or stroke.","You should not take Eliquis if you are allergic to apixaban, or if you have active bleeding from a surgery, injury, or other cause. Eliquis may cause you to bleed more easily, especially if you have a bleeding disorder that is inherited or caused by disease. Tell your doctor if you have an artificial heart valve, or if you have ever had: bleeding problems; antiphospholipid syndrome , especially if you have a triple positive antibody test; or liver or kidney disease. Eliquis can cause a very serious blood clot around your spinal cord if you undergo a spinal tap or receive spinal anesthesia (epidural). This type of blood clot could cause long-term paralysis, and may be more likely to occur if: you have a spinal catheter in place or if a catheter has been recently removed; you have a history of spinal surgery or repeated spinal taps; you have recently had a spinal tap or epidural anesthesia; you take or other NSAIDs (nonsteroidal anti-inflammatory drugs) - ibuprofen ( Advil , Motrin ), naproxen ( Aleve ), diclofenac , indomethacin , meloxicam , and others; or you are using other medicines to treat or prevent blood clots. Taking Eliquis may increase the risk of bleeding while you are pregnant or during your delivery. Tell your doctor if you are pregnant or plan to become pregnant. Do not breastfeed.","Get emergency medical help if you have signs of an allergic reaction to Eliquis : hives ; chest pain, wheezing, difficult breathing; feeling light-headed; swelling of your face, lips, tongue, or throat. Also seek emergency medical attention if you have symptoms of a spinal blood clot such as tingling, numbness, or muscle weakness especially in your legs and feet. Call your doctor at once if you have: easy bruising, unusual bleeding (nose, mouth, vagina, or rectum), bleeding from wounds or needle injections, any bleeding that will not stop; heavy menstrual bleeding; headache , dizziness , weakness, feeling like you might pass out; urine that looks red, pink, or brown; or black or bloody stools, coughing up blood or vomit that looks like coffee grounds. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
239,Emgality,"Emgality is a prescription medicine used to prevent migraines and treat episodic cluster headaches in adults. Emgality can help reduce the number of migraine days per month and reduce the number of cluster headache attacks each week. Emgality is calcitonin-gene related peptide antagonist . Emgality works by blocking a protein called calcitonin-gene related peptide (CGRP) which is involved in migraines and episodic cluster headaches, blocking CGRP helps reduce migraines and cluster headaches. Emgality is given as a monthly injection under the skin (subcutaneous injection) using a single-dose prefilled pen or a single-dose prefilled syringe after the first loading dose. Emgality received FDA approval on September 27, 2018, for the preventive treatment of migraine in adults, then on June  4, 2019,  it received FDA approval for the treatment of episodic cluster headaches in adults.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies , and all medicines you use.","You should not use Emgality if you are allergic to galcanezumab. Emgality is not approved for use by anyone younger than 18 years old. Tell your doctor if you are pregnant. It is not known whether galcanezumab will harm an unborn baby. However, having migraine headaches during pregnancy may cause preeclampsia (dangerously high blood pressure that can lead to medical problems in both mother and baby). The benefit of preventing migraines may outweigh any risks to the baby. It may not be safe to breast-feed while using galcanezumab. Ask your doctor about any risk.","Common side effects of Emgality may include: Serious side effects of Emgality Get emergency medical help if you have signs of an allergic reaction to Emgality: hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. An allergic reaction to the active ingredient galcanezumab can occur several days after an injection. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
240,Empagliflozin,"Empagliflozin is used together with diet and exercise to lower blood sugar levels in adults and children at least 10 years old with type 2 diabetes . Empagliflozin is also used to lower the risk of death from heart attack , stroke, or heart failure in adults with type 2 diabetes who also have heart disease . Empagliflozin is also used in adults to lower the risk of dying or needing to be in a hospital for heart failure when the heart cannot pump blood properly. Empagliflozin is not for treating type 1 diabetes . Empagliflozin may also be used for purposes not listed in this medication guide.","Call your doctor at once if you have signs of a serious side effect , such as stomach pain, vomiting, tiredness, or trouble breathing. Tell your doctor if you are sick with vomiting or diarrhea, or if you eat or drink less than usual. Empagliflozin can cause serious infections around the penis or vagina. Get medical help right away if you have burning, itching, odor, discharge, pain, tenderness, redness or swelling of the genital or rectal area, fever, or if you don't feel well.","You should not use empagliflozin if you are allergic to it, or if you have: severe kidney disease (or if you are on dialysis). Tell your doctor if you have or have ever had: a bladder infection or urination problems; a genital infection (penis or vagina); problems with your pancreas, including surgery; alcoholism , or if you currently drink large amounts of alcohol; if you are on a low salt diet, you are eating less, or there is a change in your diet; if you are 65 or older; or liver or kidney disease. Follow your doctor's instructions about using  empagliflozin if you are pregnant or you become pregnant. Controlling diabetes is very important during pregnancy. You should not use empagliflozin during the second or third trimester of pregnancy. Do not breastfeed.","Get emergency medical help if you have signs of an allergic reaction : hives, difficult breathing, swelling of your face, lips, tongue, or throat. Seek medical attention right away if you have signs of a serious genital infection (penis or vagina): burning, itching, odor, discharge, pain, tenderness, redness or swelling of the genital or rectal area, fever, not feeling well. These symptoms may get worse quickly. Empagliflozin may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; low blood sugar -- headache , hunger, weakness, sweating, confusion, irritability, dizziness, fast heart rate , or feeling jittery; dehydration --dizziness, confusion, feeling very thirsty, less urination; ketoacidosis (too much acid in the blood)--nausea, vomiting , stomach pain, confusion, unusual drowsiness , or trouble breathing; or signs of a bladder infection --pain or burning when you urinate, blood in your urine, pain in pelvis or back. Common side effects of empagliflozin may include: a bladder infection ; or yeast infection in women (vaginal itching or discharge). This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
